0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:58 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:58 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:29:58 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:31:44 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:31:44 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:31:44 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:31:46 +0900] "GET /SemiProject/review/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:09 +0900] "GET /SemiProject/review/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:10 +0900] "GET /SemiProject/review/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:11 +0900] "GET /SemiProject/review/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:13 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:13 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:13 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:13 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:13 +0900] "GET /SemiProject/review/review_moviedetail.jsp?10 HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:13 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:13 +0900] "GET /SemiProject/review/movie_save/null HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:14 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 22103
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:14 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:32:14 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
